checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,title,author,genre,pages,publication_year,publisher,Member ID,Book ID,Checkout Date
9263.0,1047.0,517.0,2024-10-21 00:00:00,2024-11-07 00:00:00,Sara,Rashad,Unknown,Heliopolis,Inactive,2024-06-25,Shadows on the Corniche,Hani Nagati,Mystery,338.0,2015.0,Delta House,unknown,unknown,unknown
9340.0,1072.0,513.0,2025-08-24 00:00:00,2025-09-01 00:00:00,Seif,Zaki,9.0,Zamalek,Active,2025-10-21,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books,unknown,unknown,unknown
9231.0,1053.0,523.0,2024-02-04 00:00:00,2024-02-16 00:00:00,Adam,Shafik,9.0,Heliopolis,Active,2024-01-03,Footsteps in the Dust,Laila Shokry,Historical,276.0,2018.0,Oasis Books,unknown,unknown,unknown
9129.0,1032.0,513.0,2025-06-21 00:00:00,2025-06-29 00:00:00,Nada,Zaki,7.0,Nasr City,Active,2025-10-19,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books,unknown,unknown,unknown
9370.0,1079.0,511.0,2025-11-11 00:00:00,2025-12-03 00:00:00,Rana,Osman,8.0,Shubra,Active,2024-10-27,Winter in Alexandria,Farida Anwar,Historical,117.0,2016.0,Nile Press,unknown,unknown,unknown
9082.0,1010.0,528.0,2025-11-11 00:00:00,2025-11-18 00:00:00,Nour,Nabil,6.0,Maadi,Active,2024-05-15,The Glass Beehive,Mona Kholoussy,Nature,114.0,2010.0,Delta House,unknown,unknown,unknown
9238.0,1057.0,513.0,2024-03-28 00:00:00,2024-04-08 00:00:00,Ahmed,Fahmy,8.0,Heliopolis,Active,2024-01-12,Circuits for Beginners,Galal Mounir,Science,294.0,2021.0,Oasis Books,unknown,unknown,unknown
9012.0,1010.0,501.0,2025-02-17 00:00:00,not returned,Nour,Nabil,6.0,Maadi,Active,2024-05-15,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press,unknown,unknown,unknown
9127.0,1024.0,506.0,2025-06-13 00:00:00,not returned,Youssef,Hegazy,8.0,Nasr City,Inactive,2024-01-04,The Paper Boat Club,Aya Hafez,Friendship,183.0,0.0,Nile Press,unknown,unknown,unknown
9020.0,1016.0,506.0,2024-04-15 00:00:00,2024-05-04 00:00:00,Dina,Rashad,8.0,Maadi,Active,2023-04-24,The Paper Boat Club,Aya Hafez,Friendship,183.0,0.0,Nile Press,unknown,unknown,unknown
9208.0,1044.0,525.0,2024-07-10 00:00:00,2024-08-01 00:00:00,Sherif,Saleh,7.0,Heliopolis,Active,2024-02-19,Storms and Sailboats,Mahmoud Rafei,Adventure,297.0,2015.0,Oasis Books,unknown,unknown,unknown
9319.0,1065.0,515.0,2025-02-10 00:00:00,2025-02-21 00:00:00,Adam,Fahmy,6.0,Zamalek,Active,2025-07-12,Songs of the Oasis,Hoda Bakry,Poetry,316.0,2022.0,Cairo Young Readers,unknown,unknown,unknown
9097.0,1018.0,501.0,2025-10-05 00:00:00,2025-10-14 00:00:00,Ahmed,Shafik,9.0,Maadi,Active,2023-01-28,The Silver Kite,Amina Darwish,Adventure,128.0,2017.0,Nile Press,unknown,unknown,unknown
